id,name,linkedin_url,location,company,title,seniority,function,segment,specialism,category,evidence,source_url,fit_score,confidence,notes
"CRSA-137","Karl Martin","https://za.linkedin.com/in/karl-brian-martin","City of Cape Town, Western Cape, South Africa","Kuda","Product & Operations - Credit Decisioning","Manager","Decisioning; Credit Strategy","Fintech lending","Credit decisioning; fintech product operations","Manager","Indexed LinkedIn result states Product & Operations - Credit Decisioning at Kuda.","https://za.linkedin.com/in/karl-brian-martin","7","High",""
"CRSA-138","Morris Pretorius","https://za.linkedin.com/in/morris-pretorius-33222234","South Africa","Capitec Bank","Credit Specialist: Affordability Intelligence","Senior Analyst","Affordability; Credit Risk","Digital bank","Affordability intelligence and credit risk","Analyst","Indexed LinkedIn result states Credit Specialist: Affordability Intelligence at Capitec Bank.","https://za.linkedin.com/in/morris-pretorius-33222234","9","High",""
"CRSA-139","Juleiga Regal","https://za.linkedin.com/in/juleiga-regal-9190a04","City of Cape Town, Western Cape, South Africa","Intelligent Debt Management","Head of Credit Decisioning","Head","Decisioning; Credit Strategy","Debt review / fintech","Credit decisioning","Head","Indexed LinkedIn result states Head of Credit Decisioning at Intelligent Debt Management.","https://za.linkedin.com/in/juleiga-regal-9190a04","8","High",""
"CRSA-140","Nikola van der Linde","https://za.linkedin.com/in/nikola-van-der-linde-73371213","South Africa","Yoco","Credit Risk Manager","Manager","Credit Risk; Credit Policy; Affordability; Collections Policy","Fintech lending","Credit risk framework, credit policy, affordability framework and collections policy","Manager","Indexed LinkedIn result states Credit Risk Manager at Yoco and responsibility for credit risk framework/policies.","https://za.linkedin.com/in/nikola-van-der-linde-73371213","9","High",""
"CRSA-141","Keshnie July","https://za.linkedin.com/in/keshnie-july-6997573a","City of Johannesburg, Gauteng, South Africa","Needs verification","Product Management | Credit Decisioning","Manager","Decisioning; Credit Strategy","Credit bureau / risk software","Credit strategy implementation and automated decisioning","Manager","Indexed LinkedIn result states credit decisioning product management and Global Consultant EMEA at Experian.","https://za.linkedin.com/in/keshnie-july-6997573a","8","Medium",""
"CRSA-142","William Makhashi","https://za.linkedin.com/in/william-makhashi-28147ba2","City of Johannesburg, Gauteng, South Africa","Nedbank","Credit Risk Analyst","Analyst","Credit Risk; Affordability","Bank","Client affordability and credit risk analysis","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Nedbank and client affordability.","https://za.linkedin.com/in/william-makhashi-28147ba2","8","High",""
"CRSA-143","Nandi Kok","https://za.linkedin.com/in/nandikok","Cape Town, Western Cape, South Africa","Capitec","Retail Credit | Quantitative Risk Management","Manager","Retail Credit; Quantitative Risk; Credit Strategy","Digital bank","Retail credit risk granting and account management strategy","Manager","Indexed LinkedIn result states retail credit quantitative risk management and credit risk strategy owner at Capitec.","https://za.linkedin.com/in/nandikok","9","High",""
"CRSA-144","Xavier Coetzee","https://za.linkedin.com/in/xavier-coetzee-4a8046153","South Africa","Needs verification","Credit & Risk Manager","Manager","Credit Risk; Decisioning","Vehicle finance / asset finance","Asset-based finance credit decisioning","Manager","Indexed LinkedIn result states Credit & Risk Manager in asset-based finance leading end-to-end credit decisioning.","https://za.linkedin.com/in/xavier-coetzee-4a8046153","7","Medium",""
"CRSA-145","Puveshree Moodie","https://za.linkedin.com/in/puveshree-moodie-3010789b","South Africa","Needs verification","Strategy | Credit Risk | Analytics","Senior Manager","Credit Risk; Credit Strategy; Analytics","Bank / vehicle finance","Scorecard cut-offs; vehicle and asset finance credit risk","Manager","Indexed LinkedIn result states Senior Credit Risk Analyst: VAF at Absa and scorecard cut-offs.","https://za.linkedin.com/in/puveshree-moodie-3010789b","8","Medium",""
"CRSA-146","Buyile Mbanga","https://za.linkedin.com/in/buyile-mbanga-3b218235","Johannesburg Metropolitan Area, South Africa","Needs verification","Head of Enterprise Customer Credit","Head","Credit Decisioning; Credit Risk","Telecoms / enterprise credit","Enterprise customer credit decisioning","Head","Indexed LinkedIn result states Head of Enterprise Customer Credit and credit decisioning.","https://za.linkedin.com/in/buyile-mbanga-3b218235","7","Medium",""
"CRSA-147","Keagan Laising","https://za.linkedin.com/in/keagan-laising-0b98a7b9","City of Cape Town, Western Cape, South Africa","Capitec","Credit Intelligence Analyst","Analyst","Credit Risk; Affordability; Credit Intelligence","Digital bank","Affordability monitoring and credit risk management","Analyst","Indexed LinkedIn result states Credit Intelligence Analyst at Capitec specializing in affordability monitoring and credit risk management.","https://za.linkedin.com/in/keagan-laising-0b98a7b9","9","High",""
"CRSA-148","Kimeshan Chetty","https://za.linkedin.com/in/kimeshan-chetty-41056a168","City of Johannesburg, Gauteng, South Africa","Absa Group","Credit Risk Analyst - New Underwriting","Analyst","Credit Risk; Scorecards; Underwriting","Bank","Overdraft acquisition scorecard; underwriting credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Absa and overdraft acquisition scorecard work.","https://za.linkedin.com/in/kimeshan-chetty-41056a168","9","High",""
"CRSA-149","Andile Skungwini","https://za.linkedin.com/in/andileskungwini","City of Johannesburg, Gauteng, South Africa","Vodacom","Credit Risk & Decision Science Specialist","Senior Analyst","Credit Risk; Decision Science","Telecoms / fintech lending","Credit risk decision science","Analyst","Indexed LinkedIn result states Credit Risk & Decision Science Specialist at Vodacom.","https://za.linkedin.com/in/andileskungwini","8","High",""
"CRSA-150","Mdluli (Mputle)","https://za.linkedin.com/in/mdluli-mputle-446a6521","Emalahleni, South Africa","Nedbank","Credit Risk Officer","Analyst","Credit Risk","Bank","Credit risk officer","Analyst","Indexed LinkedIn result states Credit Risk Officer at Nedbank.","https://za.linkedin.com/in/mdluli-mputle-446a6521","7","High",""
"CRSA-151","Mike Roux","https://za.linkedin.com/in/mike-roux-a590868","City of Cape Town, Western Cape, South Africa","HomeChoice","Credit Risk Director","Executive","Credit Risk","Retail credit","Retail credit risk leadership","Executive","Indexed LinkedIn result states Credit Risk Director at HomeChoice.","https://za.linkedin.com/in/mike-roux-a590868","8","High",""
"CRSA-152","Rudolf Boshoff","https://za.linkedin.com/in/rudolf-boshoff-104743114","South Africa","The Shoprite Group of Companies","Head of Credit Risk and Governance","Head","Credit Risk; Governance","Retail credit","Credit risk governance","Head","Indexed LinkedIn result states Head of Credit Risk and Governance at Shoprite.","https://za.linkedin.com/in/rudolf-boshoff-104743114","9","High",""
"CRSA-153","Darin Kent","https://za.linkedin.com/in/darin-kent-888359132","City of Cape Town, Western Cape, South Africa","HomeChoice","Credit Risk Manager","Manager","Credit Risk","Retail credit","Retail credit risk management","Manager","Indexed LinkedIn result states Credit Risk Manager at HomeChoice.","https://za.linkedin.com/in/darin-kent-888359132","8","High",""
"CRSA-154","Gary Barnard","https://za.linkedin.com/in/gary-barnard-536a354","City of Cape Town, Western Cape, South Africa","Truworths","Director: Credit Risk, IT and Analytics","Executive","Credit Risk; Analytics; Risk Systems","Retail credit","Credit risk, IT and analytics leadership","Executive","Indexed LinkedIn result states Director: Credit Risk, IT and Analytics at Truworths.","https://za.linkedin.com/in/gary-barnard-536a354","9","High",""
"CRSA-155","Frederick Gaum","https://za.linkedin.com/in/frederick-gaum-2b23082ba","City of Cape Town, Western Cape, South Africa","Lewis Group Ltd","Credit Risk Analyst","Analyst","Credit Risk; Data Science","Retail credit","Retail credit risk and data science","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Lewis Group.","https://za.linkedin.com/in/frederick-gaum-2b23082ba","8","High",""
"CRSA-156","Chantelle de Klerk","https://za.linkedin.com/in/chantelle-de-klerk","South Africa","Shoprite Checkers - OK Franchise Division","Assistant Credit Manager","Manager","Credit Risk; Credit Management","Retail credit","Credit risk management","Manager","Indexed LinkedIn result states Assistant Credit Manager with credit risk management at Shoprite Checkers.","https://za.linkedin.com/in/chantelle-de-klerk","7","High",""
"CRSA-157","Joffre Toerien","https://za.linkedin.com/in/joffre-toerien","Cape Town, Western Cape, South Africa","HomeChoice","Credit Risk | Decision Science","Senior Analyst","Credit Risk; Decision Science","Retail credit","Credit risk decision science","Analyst","Indexed LinkedIn result states Credit Risk | Decision Science at HomeChoice.","https://za.linkedin.com/in/joffre-toerien","8","High",""
"CRSA-158","Philip Hornsby","https://za.linkedin.com/in/philip-hornsby-9626777b","Cape Town Area, South Africa","Truworths","Credit Risk Analyst","Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Truworths and Junior Credit Risk Analyst history.","https://za.linkedin.com/in/philip-hornsby-9626777b","8","High",""
"CRSA-159","Eugene Jansen van Nieuwenhuizen","https://za.linkedin.com/in/eugenejansenvannieuwenhuizen","Cape Town Area, South Africa","Lewis Group Ltd","Head of Data Science","Head","Credit Risk; Data Science; Portfolio Risk","Retail credit","Credit risk for unsecured products; portfolio optimisation","Head","Indexed LinkedIn result states Head of Data Science at Lewis Group and credit risk for unsecured products.","https://za.linkedin.com/in/eugenejansenvannieuwenhuizen","8","High",""
"CRSA-160","Clemence Kwinje","https://za.linkedin.com/in/clemence-kwinje-1b157285","City of Cape Town, Western Cape, South Africa","HomeChoice","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at HomeChoice.","https://za.linkedin.com/in/clemence-kwinje-1b157285","9","High",""
"CRSA-161","Elsje Jacobs","https://za.linkedin.com/in/elsje-jacobs-302a3a201","Western Cape, South Africa","Truworths","Lead Credit Risk Analyst","Lead / Team Lead","Credit Risk","Retail credit","Retail credit risk leadership","Lead","Indexed LinkedIn result states Lead Credit Risk Analyst at Truworths.","https://za.linkedin.com/in/elsje-jacobs-302a3a201","9","High",""
"CRSA-162","Patrick Fitzgerald","https://za.linkedin.com/in/patrick-fitzgerald-02b78147","South Africa","Needs verification","Head: Customer Acquisition and Analytics / former Credit Risk Manager","Head","Credit Risk; Analytics; Acquisition","Retail credit","Credit risk manager history and analytical/modeling team leadership","Head","Indexed LinkedIn result states Lewis Group credit risk manager and analytical/modeling team leadership.","https://za.linkedin.com/in/patrick-fitzgerald-02b78147","7","Medium",""
"CRSA-163","Stephen Seeney","https://www.linkedin.com/in/stephen-seeney-0a324447","South Africa","HomeChoice","Quantitative Finance | Credit Risk","Senior Manager","Credit Risk; Data Science; Portfolio Risk","Retail credit","Data science across credit risk and portfolio management","Manager","Indexed LinkedIn result states led data science initiatives across credit risk and portfolio management at HomeChoice.","https://www.linkedin.com/in/stephen-seeney-0a324447","8","High",""
"CRSA-164","Marlize Buys","https://za.linkedin.com/in/marlizebuys","South Africa","Needs verification","Shaping the Future of Credit Risk & Data","Executive","Credit Risk; Decision Science","Retail credit / consulting","Executive credit risk and decision science at HomeChoice history","Executive","Indexed LinkedIn result states former Executive: Credit Risk and Decision Science at HomeChoice.","https://za.linkedin.com/in/marlizebuys","8","Medium",""
"CRSA-165","Monica Nel","https://za.linkedin.com/in/monica-nel-7378bb17a","City of Cape Town, Western Cape, South Africa","Truworths","Credit Risk Analyst","Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Truworths.","https://za.linkedin.com/in/monica-nel-7378bb17a","8","High",""
"CRSA-166","Lulutho Mfazwe","https://za.linkedin.com/in/lulutho-mfazwe-758027201","City of Cape Town, Western Cape, South Africa","Lewis Group Ltd","Digital Marketing and Sales Analyst - Credit Risk","Analyst","Credit Risk; Data Analytics","Retail credit","Credit risk sales/marketing analytics","Analyst","Indexed LinkedIn result states Digital Marketing and Sales Analyst - Credit Risk at Lewis Group.","https://za.linkedin.com/in/lulutho-mfazwe-758027201","7","High",""
"CRSA-167","John Slamet","https://za.linkedin.com/in/john-slamet-28758642","City of Cape Town, Western Cape, South Africa","Truworths","Divisional Manager: Risk and Analytics","Senior Manager","Credit Risk; Risk Analytics","Retail credit","Credit risk and analytics management","Manager","Indexed LinkedIn result states Divisional Manager Risk and Analytics at Truworths and Senior Manager Credit Risk and Analytics.","https://za.linkedin.com/in/john-slamet-28758642","9","High",""
"CRSA-168","Daniel Berrange","https://za.linkedin.com/in/daniel-berrange-b8591017","City of Cape Town, Western Cape, South Africa","Truworths","Credit Risk Analyst","Analyst","Credit Risk","Retail credit","Retail credit risk","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Truworths.","https://za.linkedin.com/in/daniel-berrange-b8591017","8","High",""
"CRSA-169","Inga Enslin","https://za.linkedin.com/in/inga-enslin-53953a47","South Africa","HomeChoice","Credit Risk and Fraud Function Lead","Manager","Credit Risk; Fraud Risk","Retail credit","Credit risk and fraud function; team of credit analysts","Manager","Indexed LinkedIn result states responsible for credit risk and fraud function and team of credit analysts at HomeChoice.","https://za.linkedin.com/in/inga-enslin-53953a47","8","High",""
"CRSA-170","Garth Rossiter","https://za.linkedin.com/in/garth-rossiter-38454914","South Africa","Lula","Chief Credit & Capital Officer","Executive","Credit Risk; SME Credit; Capital","Fintech lending","Credit risk and debt capital for South African SME sector","Executive","Indexed LinkedIn result states Chief Credit & Capital Officer at Lula leading credit risk and debt capital.","https://za.linkedin.com/in/garth-rossiter-38454914","8","High",""
"CRSA-171","Michael Perry","https://za.linkedin.com/in/michael-perry-371717a8","South Africa","JUMO","Credit Product Owner","Manager","Credit Risk; Product; Lending Risk","Fintech lending","Credit product ownership and credit risk management","Manager","Indexed LinkedIn result states Credit Product Owner with credit risk management at JUMO.","https://za.linkedin.com/in/michael-perry-371717a8","8","High",""
"CRSA-172","James Olivier","https://za.linkedin.com/in/james-olivier-za","City of Cape Town, Western Cape, South Africa","Prodigy Finance","Credit Risk Originations Manager","Manager","Credit Risk; Originations; Data Analytics","Fintech lending","Credit originations and data-driven risk","Manager","Indexed LinkedIn result states Credit Risk Originations Manager at Prodigy Finance.","https://za.linkedin.com/in/james-olivier-za","9","High",""
"CRSA-173","Sid Deschamps","https://za.linkedin.com/in/sid-deschamps-850a7a190","South Africa","Lula","Credit Team Lead","Lead / Team Lead","Credit Risk; SME Credit","Fintech lending","Credit team leadership and credit risk training","Lead","Indexed LinkedIn result states Credit Team Lead at Lula and Credit Risk Trainer.","https://za.linkedin.com/in/sid-deschamps-850a7a190","8","High",""
"CRSA-174","Lerato Ntsobe","https://za.linkedin.com/in/lerato-ntsobe-79a461172","City of Cape Town, Western Cape, South Africa","Yoco","Risk Management Specialist","Senior Analyst","Lending Risk; Risk Management","Fintech lending","Risk management in fintech credit context","Analyst","Indexed LinkedIn result states Risk Management Specialist at Yoco.","https://za.linkedin.com/in/lerato-ntsobe-79a461172","6","High",""
"CRSA-175","Lohan Van Heerden","https://za.linkedin.com/in/lohan-van-heerden-290579b1","South Africa","Prodigy Finance","Credit Risk Analyst","Analyst","Credit Risk; Data Analytics","Fintech lending","Credit risk and data analytics","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Prodigy Finance.","https://za.linkedin.com/in/lohan-van-heerden-290579b1","9","High",""
"CRSA-176","Michael Light","https://za.linkedin.com/in/michael-light-3a4369bb","City of Cape Town, Western Cape, South Africa","Prodigy Finance","Head of Credit / Head of Credit Risk","Head","Credit Risk","Fintech lending","Credit risk leadership","Head","Indexed LinkedIn result states Head of Credit and prior Head of Credit Risk at Prodigy Finance.","https://za.linkedin.com/in/michael-light-3a4369bb","9","High",""
"CRSA-177","Jemma Buser","https://za.linkedin.com/in/jemma-buser-300731134","Cape Town, Western Cape, South Africa","Lula","Senior Credit Risk Analyst","Senior Analyst","Credit Risk","Fintech lending","SME fintech lending credit risk","Analyst","Indexed LinkedIn result states Senior Credit Risk Analyst at Lula.","https://za.linkedin.com/in/jemma-buser-300731134","9","High",""
"CRSA-178","Riek Kirsten","https://za.linkedin.com/in/riek-kirsten-6b1a7724","South Africa","JUMO.WORLD","Optimisation Manager in Credit Risk and Analytics","Manager","Credit Risk; Credit Analytics; Portfolio Risk","Fintech lending","Credit portfolio optimisation and analytics","Manager","Indexed LinkedIn result states Optimisation Manager in Credit Risk and Analytics at JUMO.","https://za.linkedin.com/in/riek-kirsten-6b1a7724","8","High",""
"CRSA-179","Perry De Jager","https://za.linkedin.com/in/perry-de-jager-5757064b","City of Cape Town, Western Cape, South Africa","Lula","Head of Collections","Head","Collections Strategy; Collections Operations","Fintech lending","Collections leadership for lending portfolio","Head","Indexed LinkedIn result states Head of Collections at Lula.","https://za.linkedin.com/in/perry-de-jager-5757064b","7","High",""
"CRSA-180","Eduan Botha","https://za.linkedin.com/in/eduan-botha","South Africa","Capitec / Prodigy Finance","Credit Intelligence Analyst / former Credit Risk Analyst","Analyst","Credit Risk; Credit Intelligence; Portfolio Analytics","Digital bank / fintech lending","Credit intelligence and credit risk analysis","Analyst","Indexed LinkedIn result states Credit Intelligence Analyst at Capitec and former Credit Risk Analyst at Prodigy Finance.","https://za.linkedin.com/in/eduan-botha","8","High",""
"CRSA-181","Ishe Sibanda","https://za.linkedin.com/in/ishe-sibanda-99622070","South Africa","Lula","Credit Analyst | Fintech | Banking","Analyst","Credit Risk; SME Credit; Credit Analysis","Fintech lending","Business funding credit risk assessment","Analyst","Indexed LinkedIn result states Credit Analyst at Lula with credit risk assessment.","https://za.linkedin.com/in/ishe-sibanda-99622070","8","High",""
"CRSA-182","Anele Mgungwana","https://za.linkedin.com/in/anele-mgungwana-83746a19b","South Africa","Lula","Credit Analyst | Credit Risk | Business Funding & Banking","Analyst","Credit Risk; SME Credit","Fintech lending","Business funding credit risk","Analyst","Indexed LinkedIn result states Credit Analyst / Credit Risk / Business Funding at Lula.","https://za.linkedin.com/in/anele-mgungwana-83746a19b","8","High",""
"CRSA-183","Justin Owen","https://za.linkedin.com/in/justin-owen-24b750110","City of Cape Town, Western Cape, South Africa","Prodigy Finance","Debt Recovery / Risk Management","Analyst","Credit Risk; Collections; Debt Recovery","Fintech lending","Debt recovery and credit risk assessments","Analyst","Indexed LinkedIn result states debt recovery and risk management with credit risk assessments at Prodigy Finance.","https://za.linkedin.com/in/justin-owen-24b750110","6","High",""
"CRSA-184","Ayanda Ndlovu","https://za.linkedin.com/in/ayandandlovu1205","City of Cape Town, Western Cape, South Africa","Principa","Credit Risk Analyst","Analyst","Credit Risk; Credit Analytics","Analytics vendor / consulting","Credit risk analytics consulting","Analyst","Indexed LinkedIn result states Credit Risk Analyst at Principa.","https://za.linkedin.com/in/ayandandlovu1205","9","High",""
"CRSA-185","Rahul Mathew","https://za.linkedin.com/in/rahul-mathew-70869917b","City of Johannesburg, Gauteng, South Africa","Monocle Solutions","Consultant | Credit Risk","Consultant","Credit Risk; Consulting","Consulting","Credit risk consulting","Consultant","Indexed LinkedIn result states Credit Risk Consultant at Monocle Solutions.","https://za.linkedin.com/in/rahul-mathew-70869917b","8","High",""
"CRSA-186","Kobus Louw","https://za.linkedin.com/in/kobus-louw-6a54b983","City of Cape Town, Western Cape, South Africa","Principa Decisions","Credit Risk Consultant","Consultant","Credit Risk; Consulting","Analytics vendor / consulting","Credit risk consulting","Consultant","Indexed LinkedIn result states Credit Risk Consultant at Principa Decisions.","https://za.linkedin.com/in/kobus-louw-6a54b983","8","High",""
"CRSA-187","Anton Heyneke","https://za.linkedin.com/in/anton-heyneke-09a118177","South Africa","KPMG South Africa","Assistant Manager | Credit & Capital Risk","Consultant","Credit Risk; Basel / Regulatory Credit Risk","Consulting","Financial risk management - credit and capital risk","Consultant","Indexed LinkedIn result states Senior Consultant / Assistant Manager in credit and capital risk at KPMG South Africa.","https://za.linkedin.com/in/anton-heyneke-09a118177","8","High",""
"CRSA-188","Nozipho Mzobe","https://za.linkedin.com/in/nozipho-mzobe-58b238107","City of Johannesburg, Gauteng, South Africa","EY","EY Quant | Financial Risk Management | Credit Risk","Consultant","Credit Risk; Quantitative Risk; Consulting","Consulting","Financial risk management and credit risk","Consultant","Indexed LinkedIn result states EY Quant / Financial Risk Management / Credit Risk at EY.","https://za.linkedin.com/in/nozipho-mzobe-58b238107","8","High",""
"CRSA-189","Steven Byers","https://za.linkedin.com/in/steven-byers","City of Johannesburg, Gauteng, South Africa","Independent / Advisor","Credit Risk Consultant & Advisor","Consultant","Credit Risk; Consulting","Consulting","Credit risk advisory","Consultant","Indexed LinkedIn result states Credit Risk Consultant & Advisor.","https://za.linkedin.com/in/steven-byers","7","High",""
"CRSA-190","Sean Pugh","https://za.linkedin.com/in/sean-pugh-668a6558","Johannesburg Area, South Africa","FNB Namibia / FNB South Africa history","Credit Risk Consultant","Consultant","Credit Risk; Consulting","Bank / consulting","Credit risk consulting","Consultant","Indexed LinkedIn result states Credit Risk Consultant and FNB South Africa experience.","https://za.linkedin.com/in/sean-pugh-668a6558","6","Medium",""
"CRSA-191","Lebone Moloi","https://za.linkedin.com/in/lebone-moloi-82856b1ba","City of Johannesburg, Gauteng, South Africa","Discovery Limited","Credit Risk Analyst / Credit Risk Consultant","Consultant","Credit Risk; Consulting","Digital bank / insurance","Credit risk analysis and consulting","Consultant","Indexed LinkedIn result states Credit Risk Analyst / Consultant at Discovery Limited.","https://za.linkedin.com/in/lebone-moloi-82856b1ba","8","High",""
"CRSA-192","Shirley Smit","https://za.linkedin.com/in/shirley-smit-2817ba44","South Africa","KPMG South Africa","Senior Manager - Financial Risk Management","Senior Manager","Credit Risk; Financial Risk","Consulting","Risk management consulting with credit risk relevance","Manager","Indexed LinkedIn result states Senior Manager - Financial Risk Management at KPMG South Africa with risk management specialization.","https://za.linkedin.com/in/shirley-smit-2817ba44","7","Medium",""
"CRSA-193","Bryce Gething","https://za.linkedin.com/in/bryce-gething-35b90713","Cape Town, Western Cape, South Africa","EY","Associate Director - Risk, Quantitative Advisory Services","Senior Manager","Quantitative Risk; Credit Risk; Consulting","Consulting","Risk quantitative advisory services","Manager","Indexed LinkedIn result states Associate Director - Risk, Quantitative Advisory Services at EY.","https://za.linkedin.com/in/bryce-gething-35b90713","7","High",""
"CRSA-194","Eunice Macamo","https://za.linkedin.com/in/eunice-macamo-576172254","South Africa","Discovery Limited","Credit Risk Consultant","Consultant","Credit Risk; Consulting","Digital bank / insurance","Credit risk consulting","Consultant","Indexed LinkedIn result states Credit Risk Consultant at Discovery Limited.","https://za.linkedin.com/in/eunice-macamo-576172254","8","High",""
"CRSA-195","Samkelisiwe Dladla","https://za.linkedin.com/in/samkelisiwe-dladla-120a09140","City of Johannesburg, Gauteng, South Africa","Capitec / KPMG South Africa","Credit Intelligence Analysis / former Senior Consultant","Senior Analyst","Credit Risk; Credit Intelligence; Consulting","Digital bank / consulting","Credit intelligence analysis; KPMG senior consultant history","Consultant","Indexed LinkedIn result states Credit Intelligence Analysis at Capitec and KPMG South Africa senior consultant history.","https://za.linkedin.com/in/samkelisiwe-dladla-120a09140","7","High",""
"CRSA-196","Jonathan Reyneke","https://za.linkedin.com/in/jonathan-reyneke-b82605141","South Africa","KPMG South Africa","Assistant Manager / Senior Consultant - Credit and Capital Risk","Consultant","Credit Risk; Capital Risk; Consulting","Consulting","Financial Risk Management - credit and capital risk","Consultant","Indexed LinkedIn result states KPMG senior consultant in Financial Risk Management - Credit and Capital Risk.","https://za.linkedin.com/in/jonathan-reyneke-b82605141","8","High",""
"CRSA-197","Kerri Thorpe","https://za.linkedin.com/in/kerri-thorpe-6914b3103","City of Cape Town, Western Cape, South Africa","KPMG South Africa","Credit Risk Senior Manager","Senior Manager","Credit Risk; Consulting","Consulting","Credit risk consulting","Manager","Indexed LinkedIn result states Credit Risk Senior Manager at KPMG South Africa.","https://za.linkedin.com/in/kerri-thorpe-6914b3103","9","High",""
"CRSA-198","Willie Jansen","https://za.linkedin.com/in/willie-jansen-cpt","South Africa","Monocle Solutions","Director","Head","Credit Risk; Credit Risk Data","Consulting","Credit Risk BI and data processing consulting to financial institutions","Head","Indexed LinkedIn result states Monocle Solutions director with credit risk BI/data processing experience.","https://za.linkedin.com/in/willie-jansen-cpt","7","High",""
"CRSA-199","Brett Roelofsz","https://za.linkedin.com/in/brett-roelofsz-a5757652","City of Johannesburg, Gauteng, South Africa","Monocle Solutions","Partner","Executive","Credit Risk; Consulting","Consulting","Credit analysis process and credit risk management","Head","Indexed LinkedIn result states Partner at Monocle Solutions with credit analysis and credit risk management relevance.","https://za.linkedin.com/in/brett-roelofsz-a5757652","7","High",""
"CRSA-200","Matthew Stevens","https://za.linkedin.com/in/matthew-stevens-jhb","City of Johannesburg, Gauteng, South Africa","Monocle Solutions / GSFP","Manager","Manager","Credit Risk; Consulting","Consulting","Banking risk and regulatory consulting","Manager","Indexed LinkedIn result states Manager at Monocle Solutions in Johannesburg.","https://za.linkedin.com/in/matthew-stevens-jhb","6","Medium",""
"CRSA-201","Sihle Poswayo","https://za.linkedin.com/in/sihle-poswayo-msc-2b3b9539","South Africa","Needs verification","Credit Risk Manager | Strategy","Manager","Credit Risk; Credit Strategy; Analytics","Bank / financial services","Credit risk strategy and analytics; Standard Bank and Nedbank history","Manager","Indexed LinkedIn result states Credit Risk Manager/Strategy with Standard Bank and Nedbank experience.","https://za.linkedin.com/in/sihle-poswayo-msc-2b3b9539","8","Medium",""
"CRSA-202","Sune van den Berg-Walters","https://za.linkedin.com/in/sune-van-den-berg-walters","South Africa","Monocle Solutions","Associate Director","Senior Manager","Credit Risk; Capital Reporting; Regulatory Reform","Consulting","Credit risk, capital reporting and regulatory reform","Manager","Indexed LinkedIn result states Associate Director at Monocle Solutions focused on Credit Risk and Capital Reporting.","https://za.linkedin.com/in/sune-van-den-berg-walters","8","High",""
"CRSA-203","Karuna Reddy","https://za.linkedin.com/in/karuna-reddy","South Africa","Monocle Solutions","Credit Risk SME","Senior Consultant","Credit Risk; Consulting","Consulting","Management consulting in South African financial services credit risk","Consultant","Indexed LinkedIn result states Credit Risk SME at Monocle Solutions.","https://za.linkedin.com/in/karuna-reddy","8","High",""
"CRSA-204","Guy Wilding, FRM","https://za.linkedin.com/in/guy-wilding-frm-9398a287","South Africa","Monocle Solutions","Principal","Senior Manager","Credit Risk; IFRS 9 / Impairments","Consulting","IFRS 9 impairments automation and credit risk reporting","Manager","Indexed LinkedIn result states Principal at Monocle Solutions with IFRS 9 impairments project and credit risk reporting.","https://za.linkedin.com/in/guy-wilding-frm-9398a287","8","High",""
"CRSA-205","Osiame Vincent Montshosi","https://za.linkedin.com/in/osiame-vincent-montshosi-6b0128b7","South Africa","Nedbank","Credit Risk Manager","Manager","Credit Risk; Monitoring; Data Science","Bank","Credit risk monitoring; former data scientist and Deloitte/SAS experience","Manager","Indexed LinkedIn result states Credit Risk Manager at Nedbank with Deloitte and SAS background.","https://za.linkedin.com/in/osiame-vincent-montshosi-6b0128b7","9","High",""
"CRSA-206","Rory Kew","https://za.linkedin.com/in/rory-kew-2344b129","City of Cape Town, Western Cape, South Africa","Independent","Independent Risk Consultant and Project Manager","Consultant","Credit Risk; Consulting","Consulting","Credit risk specialist with executive experience across Sub-Saharan Africa","Consultant","Indexed LinkedIn result states independent risk consultant and credit risk specialist.","https://za.linkedin.com/in/rory-kew-2344b129","7","High",""
"CRSA-207","Lyndon Crouch","https://za.linkedin.com/in/lyndon-crouch-b447851ab","South Africa","Monocle Solutions","Manager","Manager","Credit Risk; Consulting","Consulting","Credit risk environment; analyst-to-manager consulting track","Manager","Indexed LinkedIn result states Manager at Monocle Solutions with credit risk environment experience.","https://za.linkedin.com/in/lyndon-crouch-b447851ab","7","High",""
"CRSA-208","Zuzumusa Ndlela","https://za.linkedin.com/in/zuzumusa-ndlela-a1b789158","South Africa","Absa Group","Quantitative Analyst | Credit Risk","Analyst","Quantitative Credit Risk; SAS","Bank","FSA credit risk and quantitative analysis","Analyst","Indexed LinkedIn result states Quantitative Analyst | Credit Risk at Absa Group.","https://za.linkedin.com/in/zuzumusa-ndlela-a1b789158","8","High",""
